variant,spectral_radius,seed,curvature_rad,vpt
connectome_weight_permuted,4.4,4,0.2605981780695334,2.1177455999999997
connectome_weight_permuted,4.4,5,0.2622617273463496,5.305910399999999
connectome_weight_permuted,4.4,6,0.259683249302678,2.0905776
connectome_weight_permuted,4.4,7,0.25983697481053564,0.2322864
connectome_weight_permuted,4.4,8,0.25890333263036897,0.8028143999999999
connectome_weight_permuted,4.4,9,0.26424320717519123,0.4115952
connectome_weight_permuted,4.8,0,3.0305319979315777,0.8585087999999998
connectome_weight_permuted,4.8,1,0.25770967287974755,0.6533903999999999
connectome_weight_permuted,4.8,2,0.25864372800283014,3.6676799999999994
connectome_weight_permuted,4.8,3,0.25831438277602065,1.9696799999999999
connectome_weight_permuted,4.8,4,0.260636731471627,2.10552
connectome_weight_permuted,4.8,5,0.2626776882233645,4.8345456
connectome_weight_permuted,4.8,6,0.26026741300962747,2.1489887999999997
connectome_weight_permuted,4.8,7,0.2598356266426787,0.23092799999999997
connectome_weight_permuted,4.8,8,0.25682059554279957,0.0
connectome_weight_permuted,4.8,9,0.26252307574144784,0.40752
connectome_weight_permuted,5.2,0,3.0400791949987136,0.8639423999999998
connectome_weight_permuted,5.2,1,0.25758924858295185,0.5420016
connectome_weight_permuted,5.2,2,0.25898466952677934,3.4815791999999997
connectome_weight_permuted,5.2,3,0.2580953112816234,1.8922511999999998
connectome_weight_permuted,5.2,4,0.2605833168688835,2.1041616000000003
connectome_weight_permuted,5.2,5,0.26311275439409115,4.797868799999999
connectome_weight_permuted,5.2,6,0.2607803195356618,1.1655072
connectome_weight_permuted,5.2,7,0.2599006482975863,0.22956959999999996
connectome_weight_permuted,5.2,8,0.2568206697539452,0.3952944
connectome_weight_permuted,5.2,9,3.0556352125423465,1.1070959999999999
connectome_weight_permuted,5.6,0,3.0480051586189507,0.7579872
connectome_weight_permuted,5.6,1,0.2575059807586683,0.41567039999999994
connectome_weight_permuted,5.6,2,0.25935534640869207,3.5535744
connectome_weight_permuted,5.6,3,0.2579431628381886,1.9751135999999996
connectome_weight_permuted,5.6,4,0.2604654563049951,1.9370783999999996
connectome_weight_permuted,5.6,5,0.2635376848405274,4.629427199999999
connectome_weight_permuted,5.6,6,0.2612289074124135,0.9400127999999999
connectome_weight_permuted,5.6,7,0.2600072213974018,0.2268528
connectome_weight_permuted,5.6,8,0.25918116026385996,1.1736575999999999
connectome_weight_permuted,5.6,9,3.058285689140682,1.0894367999999999
connectome_weight_permuted,6.0,0,3.054724948116026,0.6615407999999998
connectome_weight_permuted,6.0,1,0.25744528241283177,0.41023679999999996
connectome_weight_permuted,6.0,2,0.25972156139346025,3.7410336
connectome_weight_permuted,6.0,3,0.2578424336062242,2.0009232
connectome_weight_permuted,6.0,4,0.26030906324168457,1.7387519999999999
connectome_weight_permuted,6.0,5,0.26394201253748745,4.232774399999999
connectome_weight_permuted,6.0,6,0.26160893543890207,0.9345791999999999
connectome_weight_permuted,6.0,7,0.2601344027896451,0.22413599999999997
connectome_weight_permuted,6.0,8,0.25975903723407684,0.8000976
connectome_weight_permuted,6.0,9,3.0416147764973194,0.7919471999999999
connectome_weight_permuted,6.4,0,3.0605367876307543,0.5895455999999999
connectome_weight_permuted,6.4,1,0.25739811791422385,0.28662239999999994
connectome_weight_permuted,6.4,2,0.26006311215432765,3.1895232
connectome_weight_permuted,6.4,3,0.257778009548483,1.9302864000000004
connectome_weight_permuted,6.4,4,0.2601332434520852,1.7306016
connectome_weight_permuted,6.4,5,0.26432611028625275,4.198814399999999
connectome_weight_permuted,6.4,6,0.26192633503715845,0.9345791999999999
connectome_weight_permuted,6.4,7,0.2602660785468524,0.2227776
connectome_weight_permuted,6.4,8,0.25859817521794465,0.2051184
connectome_weight_permuted,6.4,9,3.0495743794472654,1.3067807999999999
connectome_weight_permuted,6.8,0,3.065652609819515,0.4917408
connectome_weight_permuted,6.8,1,0.25735952580897625,0.27847199999999994
connectome_weight_permuted,6.8,2,0.2603714818333674,3.0550415999999996
connectome_weight_permuted,6.8,3,0.25773883499329325,1.7985215999999997
connectome_weight_permuted,6.8,4,0.25995170683827123,1.7197343999999997
connectome_weight_permuted,6.8,5,0.26469490134466833,4.217832
connectome_weight_permuted,6.8,6,0.2622035815297965,0.8299823999999999
connectome_weight_permuted,6.8,7,0.26038995531494563,0.22141919999999998
connectome_weight_permuted,6.8,8,0.2568093870672563,0.366768
connectome_weight_permuted,6.8,9,3.0565107831397618,0.8585087999999998
connectome_weight_permuted,7.2,0,3.0702235587064415,0.489024
connectome_weight_permuted,7.2,1,0.2573271865239222,0.2743968
connectome_weight_permuted,7.2,2,0.26064645165334677,2.5619424
connectome_weight_permuted,7.2,3,0.257718004712095,1.7672784
connectome_weight_permuted,7.2,4,0.2597749951845333,1.4371871999999999
connectome_weight_permuted,7.2,5,0.2650536548812127,4.1852304
connectome_weight_permuted,7.2,6,0.2624706953192661,0.6955007999999999
connectome_weight_permuted,7.2,7,0.26049621307848275,0.22006079999999995
connectome_weight_permuted,7.2,8,0.25604724840505105,0.39665279999999997
connectome_weight_permuted,7.2,9,3.0870699211734243,0.0
